ppt_index,stimulus_identity,rating,stim_age,age,height,upper_arm_circumference,upper_arm_circumference_sc,age_sc,stim_age_sc,height_sc
69,m(11).jpg,1,25,17,183.5,29.75,-0.9255514274788318,-1.1656531665649728,-0.1304913756705119,0.4856441785570759
69,m(9).jpg,1,30,17,183.5,29.75,-0.9255514274788318,-1.1656531665649728,1.175236933941416,0.4856441785570759
69,m(5).jpg,0,26,17,183.5,29.75,-0.9255514274788318,-1.1656531665649728,0.13065428625187367,0.4856441785570759
69,m(8).jpg,1,22,17,183.5,29.75,-0.9255514274788318,-1.1656531665649728,-0.9139283614376685,0.4856441785570759
69,m(15).jpg,1,24,17,183.5,29.75,-0.9255514274788318,-1.1656531665649728,-0.3916370375928975,0.4856441785570759
69,m(1).jpg,1,20,17,183.5,29.75,-0.9255514274788318,-1.1656531665649728,-1.4362196852824396,0.4856441785570759
69,m(17).jpg,0,33,17,183.5,29.75,-0.9255514274788318,-1.1656531665649728,1.9586739197085725,0.4856441785570759
69,m(4).jpg,1,29,17,183.5,29.75,-0.9255514274788318,-1.1656531665649728,0.9140912720190304,0.4856441785570759
69,m(18).jpg,1,25,17,183.5,29.75,-0.9255514274788318,-1.1656531665649728,-0.1304913756705119,0.4856441785570759
69,m(14).jpg,1,32,17,183.5,29.75,-0.9255514274788318,-1.1656531665649728,1.697528257786187,0.4856441785570759
69,m(3).jpg,1,30,17,183.5,29.75,-0.9255514274788318,-1.1656531665649728,1.175236933941416,0.4856441785570759
69,m(7).jpg,1,19,17,183.5,29.75,-0.9255514274788318,-1.1656531665649728,-1.6973653472048253,0.4856441785570759
69,m(13).jpg,1,23,17,183.5,29.75,-0.9255514274788318,-1.1656531665649728,-0.652782699515283,0.4856441785570759
70,m(10).jpg,0,27,45,173.5,40,1.7436305414489373,0.6852392779145344,0.3917999481742592,-0.9358615609243363
70,m(12).jpg,1,26,45,173.5,40,1.7436305414489373,0.6852392779145344,0.13065428625187367,-0.9358615609243363
70,m(11).jpg,0,25,45,173.5,40,1.7436305414489373,0.6852392779145344,-0.1304913756705119,-0.9358615609243363
70,m(14).jpg,1,32,45,173.5,40,1.7436305414489373,0.6852392779145344,1.697528257786187,-0.9358615609243363
70,m(6).jpg,1,26,45,173.5,40,1.7436305414489373,0.6852392779145344,0.13065428625187367,-0.9358615609243363
70,m(13).jpg,1,23,45,173.5,40,1.7436305414489373,0.6852392779145344,-0.652782699515283,-0.9358615609243363
70,m(3).jpg,1,30,45,173.5,40,1.7436305414489373,0.6852392779145344,1.175236933941416,-0.9358615609243363
70,m(8).jpg,1,22,45,173.5,40,1.7436305414489373,0.6852392779145344,-0.9139283614376685,-0.9358615609243363
70,m(7).jpg,1,19,45,173.5,40,1.7436305414489373,0.6852392779145344,-1.6973653472048253,-0.9358615609243363
70,m(17).jpg,1,33,45,173.5,40,1.7436305414489373,0.6852392779145344,1.9586739197085725,-0.9358615609243363
70,m(9).jpg,1,30,45,173.5,40,1.7436305414489373,0.6852392779145344,1.175236933941416,-0.9358615609243363
70,m(2).jpg,0,20,45,173.5,40,1.7436305414489373,0.6852392779145344,-1.4362196852824396,-0.9358615609243363
70,m(19).jpg,1,23,45,173.5,40,1.7436305414489373,0.6852392779145344,-0.652782699515283,-0.9358615609243363
70,m(20).jpg,1,27,45,173.5,40,1.7436305414489373,0.6852392779145344,0.3917999481742592,-0.9358615609243363
70,m(4).jpg,1,29,45,173.5,40,1.7436305414489373,0.6852392779145344,0.9140912720190304,-0.9358615609243363
70,m(16).jpg,1,23,45,173.5,40,1.7436305414489373,0.6852392779145344,-0.652782699515283,-0.9358615609243363
70,m(15).jpg,1,24,45,173.5,40,1.7436305414489373,0.6852392779145344,-0.3916370375928975,-0.9358615609243363
70,m(18).jpg,1,25,45,173.5,40,1.7436305414489373,0.6852392779145344,-0.1304913756705119,-0.9358615609243363
70,m(5).jpg,1,26,45,173.5,40,1.7436305414489373,0.6852392779145344,0.13065428625187367,-0.9358615609243363
70,m(1).jpg,1,20,45,173.5,40,1.7436305414489373,0.6852392779145344,-1.4362196852824396,-0.9358615609243363
71,m(16).jpg,0,23,36,182,41.5,2.1342425369017817,0.09030956361754996,-0.652782699515283,0.27241831763486407
71,m(20).jpg,1,27,36,182,41.5,2.1342425369017817,0.09030956361754996,0.3917999481742592,0.27241831763486407
71,m(12).jpg,1,26,36,182,41.5,2.1342425369017817,0.09030956361754996,0.13065428625187367,0.27241831763486407
71,m(2).jpg,1,20,36,182,41.5,2.1342425369017817,0.09030956361754996,-1.4362196852824396,0.27241831763486407
71,m(11).jpg,1,25,36,182,41.5,2.1342425369017817,0.09030956361754996,-0.1304913756705119,0.27241831763486407
71,m(17).jpg,1,33,36,182,41.5,2.1342425369017817,0.09030956361754996,1.9586739197085725,0.27241831763486407
71,m(4).jpg,0,29,36,182,41.5,2.1342425369017817,0.09030956361754996,0.9140912720190304,0.27241831763486407
71,m(5).jpg,1,26,36,182,41.5,2.1342425369017817,0.09030956361754996,0.13065428625187367,0.27241831763486407
71,m(13).jpg,0,23,36,182,41.5,2.1342425369017817,0.09030956361754996,-0.652782699515283,0.27241831763486407
71,m(3).jpg,1,30,36,182,41.5,2.1342425369017817,0.09030956361754996,1.175236933941416,0.27241831763486407
